DateTime,High,Low,Average,Volume BTC
2016-11-17 00:00:00,697.28,688.90,694.06,10180.62
2016-11-16 00:00:00,693.96,663.51,678.60,15591.84
2016-11-15 00:00:00,667.49,658.48,662.21,10208.91
2016-11-14 00:00:00,662.07,646.67,652.60,440.87
2016-11-13 00:00:00,647.73,634.75,641.28,8598.91
2016-11-12 00:00:00,661.68,647.39,653.94,7143.55
2016-11-11 00:00:00,661.48,655.91,659.23,8209.71
2016-11-10 00:00:00,661.87,652.85,656.09,10643.64
2016-11-09 00:00:00,666.58,642.80,658.24,17424.87
2016-11-08 00:00:00,647.10,634.74,640.48,9836.9
2016-11-07 00:00:00,639.11,632.38,636.03,6959.88
2016-11-06 00:00:00,640.30,630.12,636.73,6264.93
2016-11-05 00:00:00,632.21,625.85,630.24,5592.0
2016-11-04 00:00:00,637.62,623.85,630.62,11023.56
2016-11-03 00:00:00,669.33,618.26,653.53,21503.6
2016-11-02 00:00:00,663.02,652.82,655.78,9819.91
2016-11-01 00:00:00,662.99,636.09,653.83,11542.03
2016-10-31 00:00:00,643.60,625.47,635.43,9852.91
2016-10-30 00:00:00,642.02,627.89,635.50,7311.76
2016-10-29 00:00:00,648.25,628.53,640.83,12078.4
2016-10-28 00:00:00,632.22,627.43,629.38,8237.93
2016-10-27 00:00:00,631.14,620.32,627.68,10761.02
2016-10-26 00:00:00,622.59,604.54,612.13,10368.42
2016-10-25 00:00:00,608.24,600.30,603.78,9496.27
2016-10-24 00:00:00,600.68,596.10,598.64,7673.16
2016-10-23 00:00:00,604.59,598.78,600.87,5574.24
2016-10-22 00:00:00,602.86,581.41,590.47,10159.05
2016-10-21 00:00:00,582.60,578.71,581.11,6504.9
2016-10-20 00:00:00,578.98,574.37,577.31,7786.95
2016-10-19 00:00:00,581.50,574.16,578.47,8391.51
2016-10-18 00:00:00,583.28,579.38,581.01,8964.88
2016-10-17 00:00:00,583.48,580.60,582.15,6906.8
2016-10-16 00:00:00,585.66,582.07,583.72,4885.37
2016-10-15 00:00:00,585.85,580.61,583.92,5213.25
2016-10-14 00:00:00,583.44,574.70,579.78,8827.54
2016-10-13 00:00:00,579.35,574.23,577.13,8188.02
2016-10-12 00:00:00,581.45,577.72,579.70,8224.31
2016-10-11 00:00:00,582.14,557.08,572.38,11429.47
2016-10-10 00:00:00,557.17,552.12,555.35,6531.29
2016-10-09 00:00:00,554.87,552.55,553.41,3933.86
2016-10-08 00:00:00,557.63,553.94,555.55,4210.18
2016-10-07 00:00:00,558.33,550.18,554.91,7759.94
2016-10-06 00:00:00,551.71,548.55,550.12,7643.57
2016-10-05 00:00:00,550.48,544.55,547.66,7240.43
2016-10-04 00:00:00,547.32,544.89,546.01,8090.72
2016-10-03 00:00:00,547.33,544.53,546.27,6240.22
2016-10-02 00:00:00,549.96,544.22,547.01,4725.86
2016-10-01 00:00:00,550.68,546.67,548.27,6458.05
2016-09-30 00:00:00,545.44,540.24,542.70,7753.83
2016-09-29 00:00:00,543.55,540.07,541.66,7692.35
2016-09-28 00:00:00,542.98,540.37,541.54,7526.39
2016-09-27 00:00:00,542.16,539.71,541.02,7234.7
2016-09-26 00:00:00,541.21,534.79,538.56,7564.53
2016-09-25 00:00:00,537.84,534.34,536.07,4032.66
2016-09-24 00:00:00,539.00,537.01,537.94,4498.6
2016-09-23 00:00:00,537.25,530.58,534.15,7087.38
2016-09-22 00:00:00,533.75,530.54,531.70,7058.35
2016-09-21 00:00:00,536.97,533.12,535.37,10020.32
2016-09-20 00:00:00,545.25,543.07,544.07,8306.88
2016-09-19 00:00:00,546.09,543.56,544.63,6485.42
2016-09-18 00:00:00,545.92,542.95,544.60,5134.08
2016-09-17 00:00:00,545.44,543.15,544.43,4486.18
2016-09-16 00:00:00,545.67,542.46,544.02,7261.33
2016-09-15 00:00:00,544.71,541.68,543.52,6779.26
2016-09-14 00:00:00,546.30,544.22,545.60,6243.3
2016-09-13 00:00:00,546.63,541.78,543.67,7965.13
2016-09-12 00:00:00,543.58,540.21,541.60,5766.17
2016-09-11 00:00:00,560.30,535.27,553.43,8455.55
2016-09-10 00:00:00,558.07,555.65,556.86,4158.57
2016-09-09 00:00:00,556.66,552.02,554.73,7105.82
2016-09-08 00:00:00,556.57,545.13,552.09,9204.51
2016-09-07 00:00:00,547.03,541.14,544.54,6755.76
2016-09-06 00:00:00,547.06,540.22,543.33,7404.1
2016-09-05 00:00:00,543.40,538.17,540.91,7462.97
2016-09-04 00:00:00,545.40,531.71,537.90,8017.5
2016-09-03 00:00:00,532.64,512.68,517.27,9741.0
2016-09-02 00:00:00,513.68,508.63,511.36,7821.11
2016-09-01 00:00:00,514.13,509.84,512.06,8095.51
2016-08-31 00:00:00,516.75,513.19,514.69,6309.86
2016-08-30 00:00:00,517.59,511.84,515.75,7783.96
2016-08-29 00:00:00,515.13,511.73,513.18,6660.6
2016-08-28 00:00:00,512.12,508.18,510.51,4453.28
2016-08-27 00:00:00,516.14,506.59,511.23,4746.79
2016-08-26 00:00:00,515.97,509.47,512.55,6835.88
2016-08-25 00:00:00,510.69,510.10,510.28,7482.82
2016-08-24 00:00:00,517.41,514.66,515.92,7406.18
2016-08-23 00:00:00,519.51,515.85,517.23,8314.03
2016-08-22 00:00:00,519.63,514.21,516.84,7014.75
2016-08-21 00:00:00,516.85,513.67,515.15,5433.57
2016-08-20 00:00:00,514.76,508.64,512.06,6076.09
2016-08-19 00:00:00,511.61,506.72,509.09,7028.57
2016-08-18 00:00:00,509.92,506.56,508.62,7821.02
2016-08-17 00:00:00,516.88,508.54,512.80,6579.94
2016-08-16 00:00:00,517.75,505.96,510.83,9492.43
2016-08-15 00:00:00,513.57,505.76,510.27,8107.82
2016-08-14 00:00:00,526.09,508.89,517.47,7827.68
2016-08-13 00:00:00,528.86,525.37,527.31,4297.04
2016-08-12 00:00:00,530.14,525.41,527.78,7874.21
2016-08-11 00:00:00,536.68,530.46,534.03,7847.59
2016-08-10 00:00:00,539.33,529.73,533.29,9356.28
2016-08-09 00:00:00,537.32,532.09,534.87,9124.14
2016-08-08 00:00:00,540.71,536.31,538.58,7334.67
2016-08-07 00:00:00,545.44,533.87,538.10,7070.82
2016-08-06 00:00:00,534.95,517.64,523.77,7664.89
2016-08-05 00:00:00,525.06,517.97,521.84,7423.65
2016-08-04 00:00:00,526.30,511.68,520.22,14052.05
2016-08-03 00:00:00,512.63,471.17,493.49,28743.06
2016-08-02 00:00:00,539.13,460.78,523.68,37328.27
2016-08-01 00:00:00,557.23,536.26,552.17,12612.97
2016-07-31 00:00:00,584.67,558.75,568.96,9469.09
2016-07-30 00:00:00,588.17,584.62,586.86,4355.13
2016-07-29 00:00:00,590.91,587.76,589.78,6063.08
2016-07-28 00:00:00,593.85,590.59,591.99,5824.82
2016-07-27 00:00:00,596.91,589.52,592.87,7657.06
2016-07-26 00:00:00,595.93,586.44,592.23,9754.43
2016-07-25 00:00:00,602.95,593.23,597.82,7164.29
2016-07-24 00:00:00,603.76,598.47,600.60,5226.11
2016-07-23 00:00:00,600.42,594.37,598.38,4597.61
2016-07-22 00:00:00,604.39,592.80,600.35,8332.43
2016-07-21 00:00:00,605.43,600.51,603.48,6614.84
2016-07-20 00:00:00,611.66,603.99,608.65,7681.78
2016-07-19 00:00:00,611.93,608.55,610.36,5768.54
2016-07-18 00:00:00,618.07,605.12,614.10,6475.41
2016-07-17 00:00:00,620.26,602.66,609.29,7327.35
2016-07-16 00:00:00,607.25,600.14,603.76,2559.7
2016-07-15 00:00:00,607.85,595.82,601.46,6007.98
2016-07-14 00:00:00,600.58,587.24,595.66,8812.0
2016-07-13 00:00:00,607.00,592.94,601.33,7915.72
2016-07-12 00:00:00,610.60,586.45,596.37,10867.32
2016-07-11 00:00:00,596.48,585.35,590.08,6619.73
2016-07-10 00:00:00,592.44,583.88,588.78,3923.76
2016-07-09 00:00:00,608.22,568.26,594.23,10877.51
2016-07-08 00:00:00,608.23,577.86,590.84,9354.71
2016-07-07 00:00:00,617.40,557.01,585.88,18695.5
2016-07-06 00:00:00,619.88,608.19,613.55,8107.15
2016-07-05 00:00:00,615.38,601.16,609.35,9280.2
2016-07-04 00:00:00,616.36,586.08,605.60,9826.22
2016-07-03 00:00:00,633.22,585.49,609.55,10622.04
2016-07-02 00:00:00,632.24,608.16,618.89,8850.02
2016-07-01 00:00:00,618.80,604.88,610.92,12760.09
2016-06-30 00:00:00,616.65,576.59,597.05,16528.84
2016-06-29 00:00:00,586.93,563.00,575.68,13262.4
2016-06-28 00:00:00,601.37,580.45,591.43,9582.41
2016-06-27 00:00:00,600.98,569.38,587.61,11652.04
2016-06-26 00:00:00,608.81,560.62,587.89,10351.21
2016-06-25 00:00:00,626.75,587.40,612.79,11836.37
2016-06-24 00:00:00,633.92,553.63,600.72,33916.75
2016-06-23 00:00:00,560.81,496.43,526.87,32964.66
2016-06-22 00:00:00,605.99,520.14,582.08,27463.84
2016-06-21 00:00:00,650.44,569.33,606.41,37049.27
2016-06-20 00:00:00,679.68,639.72,666.67,17480.57
2016-06-19 00:00:00,683.09,661.88,674.43,7873.56
2016-06-18 00:00:00,694.07,655.33,672.11,15683.56
2016-06-17 00:00:00,691.79,632.65,670.65,26790.0
2016-06-16 00:00:00,692.19,619.87,661.66,27372.44
2016-06-15 00:00:00,620.68,601.45,612.87,11799.21
2016-06-14 00:00:00,625.00,591.98,614.04,18481.3
2016-06-13 00:00:00,635.81,586.56,611.74,28096.79
2016-06-12 00:00:00,604.29,536.36,567.82,28619.79
2016-06-11 00:00:00,541.09,516.74,520.46,9318.14
2016-06-10 00:00:00,517.18,510.41,513.51,7975.52
2016-06-09 00:00:00,513.54,507.85,510.95,8248.82
2016-06-08 00:00:00,513.69,505.03,509.94,9665.85
2016-06-07 00:00:00,520.35,496.24,513.55,16515.8
2016-06-06 00:00:00,516.98,506.00,513.61,11656.29
2016-06-05 00:00:00,514.26,501.63,507.95,8742.71
2016-06-04 00:00:00,519.80,495.99,505.27,14557.57
2016-06-03 00:00:00,506.75,481.95,495.54,19046.79
2016-06-02 00:00:00,484.69,477.33,480.64,11055.22
2016-06-01 00:00:00,485.19,472.26,478.75,12612.67
2016-05-31 00:00:00,487.64,468.35,479.92,17351.81
2016-05-30 00:00:00,485.81,462.93,476.80,12503.18
2016-05-29 00:00:00,490.74,454.12,467.42,17142.88
2016-05-28 00:00:00,476.10,423.10,443.23,19927.89
2016-05-27 00:00:00,426.39,404.39,420.98,20398.55
2016-05-26 00:00:00,405.44,401.27,403.57,9721.24
2016-05-25 00:00:00,404.10,399.74,402.20,7922.11
2016-05-24 00:00:00,400.99,394.98,398.06,10528.09
2016-05-23 00:00:00,396.25,389.64,393.88,10973.78
2016-05-22 00:00:00,396.71,391.31,394.10,6862.24
2016-05-21 00:00:00,397.97,395.14,396.52,4506.24
2016-05-20 00:00:00,398.62,389.91,395.69,10115.51
2016-05-19 00:00:00,405.40,390.09,401.18,13425.89
2016-05-18 00:00:00,405.86,401.88,404.14,10245.62
2016-05-17 00:00:00,403.87,401.15,402.53,7439.66
2016-05-16 00:00:00,405.64,400.66,403.89,9170.39
2016-05-15 00:00:00,406.44,402.45,404.15,3737.2
2016-05-14 00:00:00,405.36,402.63,403.84,5391.28
2016-05-13 00:00:00,405.03,399.74,402.35,9393.34
2016-05-12 00:00:00,401.07,393.83,396.93,11107.74
2016-05-11 00:00:00,400.31,395.64,398.62,13231.39
2016-05-10 00:00:00,406.14,395.68,401.66,13111.94
2016-05-09 00:00:00,406.82,400.70,403.03,9287.62
2016-05-08 00:00:00,404.64,400.60,402.75,6906.1
2016-05-07 00:00:00,404.98,401.35,402.87,5686.99
2016-05-06 00:00:00,404.02,392.93,396.43,13463.48
2016-05-05 00:00:00,393.62,388.86,391.28,9290.86
2016-05-04 00:00:00,392.74,387.41,390.33,10132.31
2016-05-03 00:00:00,393.30,384.60,388.82,10304.93
2016-05-02 00:00:00,396.41,384.44,389.88,14347.96
2016-05-01 00:00:00,396.92,391.71,394.65,4849.48
2016-04-30 00:00:00,399.69,391.34,396.72,8480.89
2016-04-29 00:00:00,399.37,393.89,396.32,8773.11
2016-04-28 00:00:00,397.75,387.35,394.15,13004.64
2016-04-27 00:00:00,413.19,392.77,406.73,14582.4
2016-04-26 00:00:00,413.97,409.26,411.96,14282.3
2016-04-25 00:00:00,414.13,403.87,408.39,15057.13
2016-04-24 00:00:00,408.98,399.16,403.49,12018.54
2016-04-23 00:00:00,401.67,395.86,398.11,7752.07
2016-04-22 00:00:00,398.22,393.26,396.05,10962.91
2016-04-21 00:00:00,398.94,388.20,392.32,14576.56
2016-04-20 00:00:00,391.03,381.83,385.65,14996.09
2016-04-19 00:00:00,383.45,377.07,378.63,10319.53
2016-04-18 00:00:00,380.63,377.48,379.11,8763.99
2016-04-17 00:00:00,382.20,377.29,379.81,6970.63
2016-04-16 00:00:00,384.02,380.23,381.60,8287.78
2016-04-15 00:00:00,381.19,376.69,379.12,11248.57
2016-04-14 00:00:00,377.29,375.07,376.24,10628.66
2016-04-13 00:00:00,376.34,372.44,374.92,14880.47
2016-04-12 00:00:00,375.17,371.00,373.41,12106.78
2016-04-11 00:00:00,371.30,369.05,370.26,12184.34
2016-04-10 00:00:00,371.16,367.68,369.58,8191.23
2016-04-09 00:00:00,369.89,365.49,368.07,7372.53
2016-04-08 00:00:00,374.44,368.90,372.39,11548.25
2016-04-07 00:00:00,373.05,369.79,371.77,13854.39
2016-04-06 00:00:00,374.15,371.64,373.01,13533.82
2016-04-05 00:00:00,373.53,369.94,372.28,12832.76
2016-04-04 00:00:00,371.54,369.24,370.28,13389.21
2016-04-03 00:00:00,370.98,368.57,369.84,6734.94
2016-04-02 00:00:00,372.79,369.15,371.10,7701.14
2016-04-01 00:00:00,370.31,366.96,368.44,9741.84
2016-03-31 00:00:00,369.96,365.75,368.24,17023.13
2016-03-30 00:00:00,370.58,364.12,367.47,14358.86
2016-03-29 00:00:00,381.09,368.03,374.89,13419.52
2016-03-28 00:00:00,382.49,378.35,380.45,11974.22
2016-03-27 00:00:00,384.28,373.80,377.45,8414.62
2016-03-26 00:00:00,375.36,373.48,374.41,7469.14
2016-03-25 00:00:00,374.92,371.91,373.86,10124.22
2016-03-24 00:00:00,375.60,371.94,373.92,12195.46
