DateTime,High,Low,Average
2016-11-18 07:00:00,695.57,692.81,694.65
2016-11-18 06:00:00,695.51,692.81,694.03
2016-11-18 05:00:00,695.37,691.55,693.56
2016-11-18 04:00:00,695.24,691.10,693.86
2016-11-18 03:00:00,692.23,689.74,691.35
2016-11-18 02:00:00,692.04,689.54,690.54
2016-11-18 01:00:00,693.09,686.52,688.94
2016-11-18 00:00:00,691.09,687.34,688.92
2016-11-17 23:00:00,691.65,688.71,690.34
2016-11-17 22:00:00,692.98,688.11,690.89
2016-11-17 21:00:00,695.77,691.73,692.85
2016-11-17 20:00:00,696.00,694.09,695.31
2016-11-17 19:00:00,695.06,693.34,694.36
2016-11-17 18:00:00,696.00,692.61,694.86
2016-11-17 17:00:00,696.61,693.29,694.32
2016-11-17 16:00:00,696.86,694.74,696.08
2016-11-17 15:00:00,696.02,693.82,694.83
2016-11-17 14:00:00,695.33,691.98,693.52
2016-11-17 13:00:00,696.19,692.85,695.05
2016-11-17 12:00:00,695.36,687.38,692.33
2016-11-17 11:00:00,695.64,683.65,688.90
2016-11-17 10:00:00,697.61,693.38,695.29
2016-11-17 09:00:00,697.50,693.32,696.54
2016-11-17 08:00:00,697.34,695.47,696.56
2016-11-17 07:00:00,697.99,694.81,696.82
2016-11-17 06:00:00,698.82,693.67,697.28
2016-11-17 05:00:00,699.07,694.84,697.13
2016-11-17 04:00:00,697.75,694.74,696.10
2016-11-17 03:00:00,695.37,692.00,693.43
2016-11-17 02:00:00,692.10,690.70,691.69
2016-11-17 01:00:00,692.17,691.09,691.67
2016-11-17 00:00:00,692.14,689.51,691.24
2016-11-16 23:00:00,692.10,689.22,690.80
2016-11-16 22:00:00,693.96,689.53,691.10
2016-11-16 21:00:00,695.89,690.58,693.96
2016-11-16 20:00:00,691.61,688.40,690.13
2016-11-16 19:00:00,695.78,688.89,691.94
2016-11-16 18:00:00,691.07,682.90,687.02
2016-11-16 17:00:00,683.00,681.10,682.15
2016-11-16 16:00:00,683.02,679.77,681.52
2016-11-16 15:00:00,683.41,681.58,682.43
2016-11-16 14:00:00,684.95,681.48,683.20
2016-11-16 13:00:00,689.56,682.49,686.02
2016-11-16 12:00:00,689.71,667.39,675.14
2016-11-16 11:00:00,668.13,666.46,667.35
2016-11-16 10:00:00,667.51,665.66,666.33
2016-11-16 09:00:00,667.04,665.15,666.06
2016-11-16 08:00:00,667.31,664.47,666.21
2016-11-16 07:00:00,666.46,662.77,664.81
2016-11-16 06:00:00,663.71,663.32,663.51
2016-11-16 05:00:00,663.71,663.71,663.71
2016-11-15 20:00:00,668.18,666.36,667.49
2016-11-15 19:00:00,667.67,665.65,666.63
2016-11-15 18:00:00,667.44,665.30,666.46
2016-11-15 17:00:00,667.38,662.36,663.79
2016-11-15 16:00:00,664.44,662.68,663.51
2016-11-15 15:00:00,662.94,660.73,661.85
2016-11-15 14:00:00,662.90,660.76,661.87
2016-11-15 13:00:00,662.52,659.63,660.98
2016-11-15 12:00:00,660.83,657.17,659.00
2016-11-15 11:00:00,660.22,657.92,659.23
2016-11-15 10:00:00,660.13,657.85,658.81
2016-11-15 09:00:00,659.87,656.83,658.48
