DateTime,High,Low,Average,Volume BTC
2016-11-17 00:00:00,750.70,737.09,744.86,47585.69
2016-11-16 00:00:00,740.85,713.53,727.09,79496.6
2016-11-15 00:00:00,715.68,710.27,712.67,34315.16
2016-11-14 00:00:00,712.35,700.36,703.24,32882.45
2016-11-13 00:00:00,703.84,692.10,697.61,34134.47
2016-11-12 00:00:00,716.57,704.35,709.81,24728.77
2016-11-11 00:00:00,717.96,713.99,715.56,21052.87
2016-11-10 00:00:00,722.36,710.18,716.04,30893.07
2016-11-09 00:00:00,737.93,709.29,726.36,61820.39
2016-11-08 00:00:00,711.76,703.41,707.75,35729.76
2016-11-07 00:00:00,709.42,702.69,706.36,27282.35
2016-11-06 00:00:00,715.08,703.96,710.09,25432.0
2016-11-05 00:00:00,706.72,700.52,704.17,20672.8
2016-11-04 00:00:00,706.70,692.07,700.40,46461.37
2016-11-03 00:00:00,743.37,688.29,725.45,92891.22
2016-11-02 00:00:00,735.09,723.37,727.20,38849.45
2016-11-01 00:00:00,733.31,699.51,722.68,66230.7
2016-10-31 00:00:00,706.52,694.31,700.89,35323.08
2016-10-30 00:00:00,711.33,699.08,706.76,38990.9
2016-10-29 00:00:00,719.58,690.17,707.55,52638.58
2016-10-28 00:00:00,689.44,683.64,686.47,36465.34
2016-10-27 00:00:00,685.06,675.66,682.22,44916.87
2016-10-26 00:00:00,676.39,656.55,665.41,48439.89
2016-10-25 00:00:00,659.40,651.38,655.51,40813.05
2016-10-24 00:00:00,653.83,651.39,652.29,32068.71
2016-10-23 00:00:00,658.27,652.86,654.83,19922.9
2016-10-22 00:00:00,655.73,631.80,642.18,38075.68
2016-10-21 00:00:00,633.49,630.01,631.82,28595.74
2016-10-20 00:00:00,630.30,627.90,629.52,21141.83
2016-10-19 00:00:00,637.63,627.77,633.18,34746.08
2016-10-18 00:00:00,638.31,634.84,637.23,24423.21
2016-10-17 00:00:00,641.10,637.65,638.93,27100.6
2016-10-16 00:00:00,641.55,638.29,640.29,12169.79
2016-10-15 00:00:00,641.04,637.45,640.07,11244.41
2016-10-14 00:00:00,640.20,636.17,637.97,29232.14
2016-10-13 00:00:00,638.54,635.63,636.80,26218.68
2016-10-12 00:00:00,640.21,635.70,637.97,26623.2
2016-10-11 00:00:00,640.57,617.32,632.01,53105.64
2016-10-10 00:00:00,617.68,615.64,616.71,25888.63
2016-10-09 00:00:00,618.35,615.17,616.81,12825.91
2016-10-08 00:00:00,618.85,617.34,617.95,12726.36
2016-10-07 00:00:00,617.36,610.88,614.73,31532.73
2016-10-06 00:00:00,612.28,611.38,611.74,20319.56
2016-10-05 00:00:00,613.32,608.99,610.93,21993.65
2016-10-04 00:00:00,611.66,609.08,609.94,22973.39
2016-10-03 00:00:00,611.77,609.95,611.23,21289.31
2016-10-02 00:00:00,614.42,608.97,611.14,16122.42
2016-10-01 00:00:00,614.66,609.98,612.31,12728.57
2016-09-30 00:00:00,608.18,603.80,605.09,23223.04
2016-09-29 00:00:00,605.86,604.83,605.27,24333.84
2016-09-28 00:00:00,606.33,604.72,605.20,18425.71
2016-09-27 00:00:00,607.88,604.36,606.25,24463.76
2016-09-26 00:00:00,607.66,600.41,604.70,26440.34
2016-09-25 00:00:00,603.27,599.63,601.62,11901.0
2016-09-24 00:00:00,604.90,601.89,603.27,11620.44
2016-09-23 00:00:00,602.91,595.70,599.36,24139.8
2016-09-22 00:00:00,597.77,595.62,596.93,22622.16
2016-09-21 00:00:00,599.21,595.75,597.56,36928.12
2016-09-20 00:00:00,609.44,608.34,609.13,23497.44
2016-09-19 00:00:00,611.69,609.23,610.38,21928.69
2016-09-18 00:00:00,611.37,607.27,609.28,16132.18
2016-09-17 00:00:00,610.06,606.98,608.47,15970.53
2016-09-16 00:00:00,609.99,608.13,609.07,21218.55
2016-09-15 00:00:00,611.91,609.10,610.37,22003.2
2016-09-14 00:00:00,612.49,609.05,610.89,24110.39
2016-09-13 00:00:00,611.36,607.89,609.22,53929.92
2016-09-12 00:00:00,609.26,606.17,607.51,39837.52
2016-09-11 00:00:00,629.18,602.27,621.09,37121.85
2016-09-10 00:00:00,625.46,623.04,624.07,22207.92
2016-09-09 00:00:00,627.29,621.40,623.47,28141.14
2016-09-08 00:00:00,628.48,614.73,622.63,36098.27
2016-09-07 00:00:00,615.16,609.02,611.99,30256.13
2016-09-06 00:00:00,610.64,605.74,608.30,23379.4
2016-09-05 00:00:00,608.05,602.88,606.29,37079.0
2016-09-04 00:00:00,611.25,597.37,604.12,38571.17
2016-09-03 00:00:00,600.11,574.61,579.41,67550.6
2016-09-02 00:00:00,576.03,570.63,573.31,26056.48
2016-09-01 00:00:00,575.09,571.70,573.07,25796.83
2016-08-31 00:00:00,577.51,573.33,574.64,28498.97
2016-08-30 00:00:00,577.95,573.75,576.70,27179.69
2016-08-29 00:00:00,575.85,573.23,574.70,21965.25
2016-08-28 00:00:00,573.56,569.15,571.38,11600.67
2016-08-27 00:00:00,577.76,568.19,573.01,19001.52
2016-08-26 00:00:00,578.67,575.04,577.17,20236.3
2016-08-25 00:00:00,576.65,574.93,575.55,31838.19
2016-08-24 00:00:00,582.15,578.98,580.31,28836.03
2016-08-23 00:00:00,587.53,581.26,583.85,32823.56
2016-08-22 00:00:00,587.05,579.71,582.64,32795.23
2016-08-21 00:00:00,582.56,579.78,580.99,24762.16
2016-08-20 00:00:00,580.85,573.18,577.28,31340.93
2016-08-19 00:00:00,575.56,572.41,573.83,26608.39
2016-08-18 00:00:00,576.00,572.14,573.88,41205.53
2016-08-17 00:00:00,578.48,570.44,574.78,38082.82
2016-08-16 00:00:00,580.38,565.36,571.58,36757.08
2016-08-15 00:00:00,572.89,564.29,569.29,31757.62
2016-08-14 00:00:00,584.87,567.59,577.10,29292.95
2016-08-13 00:00:00,588.89,584.88,586.81,20211.49
2016-08-12 00:00:00,589.57,584.46,587.50,26578.0
2016-08-11 00:00:00,596.75,589.60,593.13,43716.2
2016-08-10 00:00:00,600.43,585.41,591.05,62515.06
2016-08-09 00:00:00,589.79,585.52,587.40,26301.34
2016-08-08 00:00:00,592.37,587.70,590.27,25503.84
2016-08-07 00:00:00,596.44,588.20,590.95,35382.11
2016-08-06 00:00:00,588.42,569.53,576.13,41631.1
2016-08-05 00:00:00,578.85,569.88,573.55,29265.35
2016-08-04 00:00:00,579.33,565.11,573.64,41699.73
2016-08-03 00:00:00,567.50,530.44,550.06,82200.08
2016-08-02 00:00:00,612.96,517.81,593.22,96434.87
2016-08-01 00:00:00,626.10,608.34,620.98,63141.47
2016-07-31 00:00:00,654.47,626.88,635.54,64756.56
2016-07-30 00:00:00,657.44,653.54,655.50,16048.91
2016-07-29 00:00:00,657.30,654.93,655.85,22753.01
2016-07-28 00:00:00,658.02,654.91,655.96,26947.36
2016-07-27 00:00:00,658.14,648.81,652.78,36360.64
2016-07-26 00:00:00,655.81,645.84,652.10,50994.56
2016-07-25 00:00:00,661.41,653.34,656.38,36937.25
2016-07-24 00:00:00,662.32,652.72,656.91,39327.6
2016-07-23 00:00:00,655.48,649.83,653.50,36673.75
2016-07-22 00:00:00,666.50,647.81,659.77,59514.54
2016-07-21 00:00:00,665.44,660.66,663.66,33277.72
2016-07-20 00:00:00,673.76,663.37,669.22,37898.15
2016-07-19 00:00:00,675.69,668.19,672.05,30221.29
