DateTime,High,Low,Average
2016-11-18 07:00:00,740.82,738.34,739.75
2016-11-18 06:00:00,739.76,737.99,738.85
2016-11-18 05:00:00,739.43,738.02,738.67
2016-11-18 04:00:00,739.97,737.76,738.93
2016-11-18 03:00:00,738.15,736.23,737.09
2016-11-18 02:00:00,737.44,735.04,736.40
2016-11-18 01:00:00,735.66,733.07,734.61
2016-11-18 00:00:00,736.60,733.74,734.91
2016-11-17 23:00:00,738.19,736.08,737.09
2016-11-17 22:00:00,739.59,736.73,737.85
2016-11-17 21:00:00,741.77,737.89,739.07
2016-11-17 20:00:00,742.87,741.50,742.13
2016-11-17 19:00:00,743.38,742.03,742.46
2016-11-17 18:00:00,744.43,741.86,743.19
2016-11-17 17:00:00,745.74,742.86,743.87
2016-11-17 16:00:00,746.64,743.77,744.95
2016-11-17 15:00:00,747.48,744.03,745.70
2016-11-17 14:00:00,748.96,744.09,745.76
2016-11-17 13:00:00,749.21,745.92,748.00
2016-11-17 12:00:00,748.39,741.44,745.49
2016-11-17 11:00:00,749.28,740.45,744.71
2016-11-17 10:00:00,751.63,746.48,749.00
2016-11-17 09:00:00,751.40,746.14,749.21
2016-11-17 08:00:00,749.70,746.27,748.29
2016-11-17 07:00:00,750.63,746.03,749.05
2016-11-17 06:00:00,751.42,746.77,749.29
2016-11-17 05:00:00,752.55,747.67,750.70
2016-11-17 04:00:00,752.00,746.67,749.12
2016-11-17 03:00:00,746.82,743.32,744.73
2016-11-17 02:00:00,744.45,742.52,743.12
2016-11-17 01:00:00,743.17,741.49,742.26
2016-11-17 00:00:00,742.56,740.39,741.48
2016-11-16 23:00:00,741.69,739.29,740.85
2016-11-16 22:00:00,739.71,737.65,738.79
2016-11-16 21:00:00,741.25,738.51,740.20
2016-11-16 20:00:00,739.36,736.96,738.14
2016-11-16 19:00:00,742.73,736.68,739.10
2016-11-16 18:00:00,738.30,731.10,735.19
2016-11-16 17:00:00,731.85,730.36,731.07
2016-11-16 16:00:00,732.34,729.09,730.84
2016-11-16 15:00:00,733.51,730.07,731.90
2016-11-16 14:00:00,736.45,730.19,732.29
2016-11-16 13:00:00,739.93,732.57,736.36
2016-11-16 12:00:00,740.54,713.70,722.83
2016-11-16 11:00:00,715.15,713.40,714.14
2016-11-16 10:00:00,714.36,713.21,713.88
2016-11-16 09:00:00,714.45,713.11,713.72
2016-11-16 08:00:00,714.97,713.47,714.34
2016-11-16 07:00:00,714.36,713.45,713.83
2016-11-16 06:00:00,713.68,713.27,713.53
2016-11-16 05:00:00,713.68,713.68,713.68
2016-11-15 20:00:00,717.49,714.33,715.61
2016-11-15 19:00:00,717.03,713.90,715.68
2016-11-15 18:00:00,715.94,713.46,715.15
2016-11-15 17:00:00,715.75,711.44,712.87
2016-11-15 16:00:00,713.21,710.83,712.36
2016-11-15 15:00:00,712.33,710.25,711.23
2016-11-15 14:00:00,712.97,710.03,712.11
2016-11-15 13:00:00,713.34,710.75,712.04
2016-11-15 12:00:00,711.47,708.94,710.27
2016-11-15 11:00:00,711.55,710.15,710.77
2016-11-15 10:00:00,711.97,707.94,710.82
2016-11-15 09:00:00,713.10,710.10,711.50
2016-11-15 08:00:00,713.67,711.58,712.72
2016-11-15 07:00:00,713.21,711.98,712.69
2016-11-15 06:00:00,712.35,712.35,712.35
2016-11-14 21:00:00,707.76,704.80,706.44
2016-11-14 20:00:00,707.40,702.01,704.60
2016-11-14 19:00:00,702.78,700.07,701.30
2016-11-14 18:00:00,701.42,698.58,700.36
2016-11-14 17:00:00,701.51,699.05,700.56
2016-11-14 16:00:00,702.12,698.93,700.85
2016-11-14 15:00:00,702.12,698.63,700.62
2016-11-14 14:00:00,701.52,698.91,700.59
2016-11-14 13:00:00,701.61,697.82,700.43
2016-11-14 12:00:00,702.11,699.78,700.77
2016-11-14 11:00:00,705.41,700.87,702.55
2016-11-14 10:00:00,705.97,703.39,705.00
2016-11-14 09:00:00,706.52,704.36,705.27
2016-11-14 08:00:00,705.61,702.89,704.08
2016-11-14 07:00:00,705.16,703.43,704.29
2016-11-14 06:00:00,705.01,703.22,704.13
2016-11-14 05:00:00,705.17,703.75,704.39
2016-11-14 04:00:00,706.00,703.51,705.08
2016-11-14 03:00:00,705.43,702.56,703.93
2016-11-14 02:00:00,703.48,701.77,702.85
2016-11-14 01:00:00,703.49,700.47,702.53
2016-11-14 00:00:00,703.42,700.20,701.54
2016-11-13 23:00:00,703.93,702.12,703.09
2016-11-13 22:00:00,704.09,701.47,702.80
2016-11-13 21:00:00,704.28,701.59,703.29
2016-11-13 20:00:00,702.36,700.82,701.55
2016-11-13 19:00:00,701.82,700.06,700.94
2016-11-13 18:00:00,702.07,699.60,700.87
2016-11-13 17:00:00,702.60,699.82,700.93
2016-11-13 16:00:00,702.75,699.37,701.29
2016-11-13 15:00:00,699.37,699.37,699.37
2016-11-13 13:00:00,694.60,688.79,692.22
2016-11-13 12:00:00,695.85,692.81,694.51
2016-11-13 11:00:00,695.63,693.16,694.93
2016-11-13 10:00:00,696.00,693.10,694.54
2016-11-13 09:00:00,696.78,693.32,694.80
2016-11-13 08:00:00,695.63,693.40,694.62
2016-11-13 07:00:00,695.67,691.80,693.49
2016-11-13 06:00:00,693.87,690.72,692.10
2016-11-13 05:00:00,695.51,691.07,693.21
2016-11-13 04:00:00,696.42,693.46,694.50
2016-11-13 03:00:00,697.50,694.37,695.40
2016-11-13 02:00:00,697.72,695.09,696.34
2016-11-13 01:00:00,700.55,693.64,696.29
2016-11-13 00:00:00,706.02,697.73,703.84
2016-11-12 23:00:00,706.38,703.09,704.77
2016-11-12 22:00:00,707.03,703.47,705.76
2016-11-12 21:00:00,706.72,703.28,705.00
2016-11-12 20:00:00,706.09,703.98,705.23
2016-11-12 19:00:00,705.37,702.99,704.35
2016-11-12 18:00:00,706.77,705.04,705.90
2016-11-12 17:00:00,706.75,705.72,706.14
2016-11-12 16:00:00,706.27,705.03,705.76
2016-11-12 15:00:00,706.05,705.03,705.54
2016-11-12 14:00:00,707.12,704.99,705.92
2016-11-12 13:00:00,708.40,705.50,707.54
2016-11-12 12:00:00,708.89,707.69,708.31
2016-11-12 11:00:00,708.57,706.41,707.39
2016-11-12 10:00:00,708.37,705.51,706.66
2016-11-12 09:00:00,714.92,708.26,713.80
2016-11-12 08:00:00,716.09,714.28,714.90
2016-11-12 07:00:00,715.10,713.67,714.32
2016-11-12 06:00:00,714.84,713.46,714.18
2016-11-12 05:00:00,715.82,713.53,714.44
2016-11-12 04:00:00,716.10,714.05,715.36
2016-11-12 03:00:00,716.23,714.32,715.35
2016-11-12 02:00:00,717.14,714.87,715.96
2016-11-12 01:00:00,717.03,716.29,716.57
2016-11-12 00:00:00,717.55,714.88,716.20
2016-11-11 23:00:00,716.26,714.87,715.49
2016-11-11 22:00:00,716.13,714.16,715.58
2016-11-11 21:00:00,715.51,713.70,714.73
2016-11-11 20:00:00,715.87,714.36,715.21
2016-11-11 19:00:00,716.47,714.60,715.50
2016-11-11 18:00:00,717.27,715.73,716.66
2016-11-11 17:00:00,716.54,714.97,715.84
2016-11-11 16:00:00,716.62,712.96,715.40
2016-11-11 15:00:00,718.83,714.50,716.52
2016-11-11 14:00:00,725.07,716.44,717.96
2016-11-11 13:00:00,718.65,716.01,717.13
2016-11-11 12:00:00,716.80,715.10,716.32
2016-11-11 11:00:00,716.42,714.97,716.02
2016-11-11 10:00:00,716.60,714.97,716.24
2016-11-11 09:00:00,716.60,715.42,715.92
2016-11-11 08:00:00,716.46,715.08,715.96
2016-11-11 07:00:00,716.58,713.87,714.90
2016-11-11 06:00:00,714.99,712.73,714.24
2016-11-11 05:00:00,714.87,712.71,713.99
2016-11-11 04:00:00,715.38,713.74,714.69
2016-11-11 03:00:00,715.47,713.31,714.49
2016-11-11 02:00:00,715.60,713.76,714.80
2016-11-11 01:00:00,716.21,714.26,715.12
2016-11-11 00:00:00,715.78,713.33,714.79
2016-11-10 23:00:00,714.84,711.80,713.74
2016-11-10 22:00:00,712.40,709.90,711.32
2016-11-10 21:00:00,711.98,709.08,710.18
2016-11-10 20:00:00,712.56,710.31,711.24
2016-11-10 19:00:00,715.02,710.59,712.29
2016-11-10 18:00:00,715.14,711.46,713.27
2016-11-10 17:00:00,715.62,712.83,714.60
2016-11-10 16:00:00,715.01,713.30,714.30
2016-11-10 15:00:00,715.99,713.25,714.62
2016-11-10 14:00:00,716.29,712.47,714.20
2016-11-10 13:00:00,716.73,715.06,716.03
2016-11-10 12:00:00,718.00,715.78,716.77
2016-11-10 11:00:00,717.97,716.75,717.45
2016-11-10 10:00:00,717.97,715.76,717.31
2016-11-10 09:00:00,718.50,717.23,717.84
2016-11-10 08:00:00,718.50,715.06,717.47
2016-11-10 07:00:00,715.92,714.41,715.38
2016-11-10 06:00:00,719.44,714.41,716.77
2016-11-10 05:00:00,718.12,716.12,716.99
2016-11-10 04:00:00,720.14,715.08,717.10
2016-11-10 03:00:00,721.68,719.43,720.54
2016-11-10 02:00:00,722.06,720.77,721.26
2016-11-10 01:00:00,723.07,720.86,722.00
2016-11-10 00:00:00,723.62,720.92,722.36
2016-11-09 23:00:00,722.99,721.15,722.28
2016-11-09 22:00:00,722.62,718.96,720.84
2016-11-09 21:00:00,724.23,719.33,721.85
2016-11-09 20:00:00,725.62,722.77,724.53
2016-11-09 19:00:00,725.99,724.37,724.95
2016-11-09 18:00:00,726.93,724.45,725.33
2016-11-09 17:00:00,727.74,726.06,726.90
2016-11-09 16:00:00,727.05,722.18,725.65
2016-11-09 15:00:00,724.21,721.83,723.49
2016-11-09 14:00:00,728.28,724.21,726.93
2016-11-09 13:00:00,728.79,726.33,727.48
2016-11-09 12:00:00,734.13,726.12,731.60
2016-11-09 11:00:00,734.84,733.14,733.94
2016-11-09 10:00:00,734.58,733.30,734.16
2016-11-09 09:00:00,737.32,733.22,735.95
2016-11-09 08:00:00,739.51,736.76,737.93
2016-11-09 07:00:00,737.95,731.63,735.00
2016-11-09 06:00:00,737.92,731.25,734.75
2016-11-09 05:00:00,737.75,732.06,734.39
2016-11-09 04:00:00,734.19,722.45,727.97
2016-11-09 03:00:00,729.65,715.22,724.20
2016-11-09 02:00:00,715.54,709.31,712.33
2016-11-09 01:00:00,709.88,708.81,709.29
2016-11-09 00:00:00,711.69,709.57,710.78
2016-11-08 23:00:00,712.18,710.43,711.29
2016-11-08 22:00:00,712.91,710.89,711.76
2016-11-08 21:00:00,711.19,709.33,710.54
2016-11-08 20:00:00,710.80,709.02,709.54
2016-11-08 19:00:00,710.68,708.98,709.88
2016-11-08 18:00:00,710.70,709.44,709.86
2016-11-08 17:00:00,710.64,709.42,710.28
2016-11-08 16:00:00,710.56,709.59,710.07
2016-11-08 15:00:00,712.58,709.59,710.93
2016-11-08 14:00:00,713.64,709.27,711.54
2016-11-08 13:00:00,709.93,707.33,708.76
2016-11-08 12:00:00,707.66,704.57,706.00
2016-11-08 11:00:00,706.14,704.38,704.86
2016-11-08 10:00:00,706.04,703.67,704.81
2016-11-08 09:00:00,704.34,703.47,703.91
2016-11-08 08:00:00,704.87,702.75,703.41
2016-11-08 07:00:00,705.72,703.55,704.25
2016-11-08 06:00:00,706.39,703.33,704.92
2016-11-08 05:00:00,706.98,705.74,706.46
2016-11-08 04:00:00,707.71,706.50,707.05
2016-11-08 03:00:00,708.87,707.26,708.10
2016-11-08 02:00:00,707.98,705.82,706.46
2016-11-08 01:00:00,706.48,704.76,705.99
2016-11-08 00:00:00,706.63,704.82,705.33
2016-11-07 23:00:00,708.21,705.52,706.75
2016-11-07 22:00:00,708.70,706.26,706.91
2016-11-07 21:00:00,707.59,705.73,706.34
2016-11-07 20:00:00,706.78,705.74,706.29
2016-11-07 19:00:00,707.44,705.12,705.81
2016-11-07 18:00:00,707.01,705.23,705.88
2016-11-07 17:00:00,706.83,704.51,706.00
2016-11-07 16:00:00,706.57,704.58,705.52
2016-11-07 15:00:00,704.88,703.15,703.74
2016-11-07 14:00:00,703.61,700.61,702.69
2016-11-07 13:00:00,706.43,702.61,704.96
2016-11-07 12:00:00,705.66,703.87,704.78
2016-11-07 11:00:00,705.64,703.90,704.80
2016-11-07 10:00:00,706.49,704.20,704.76
2016-11-07 09:00:00,708.51,705.57,706.79
2016-11-07 08:00:00,708.92,707.82,708.41
2016-11-07 07:00:00,709.07,708.13,708.60
2016-11-07 06:00:00,708.22,706.49,707.25
2016-11-07 05:00:00,708.80,706.96,707.87
2016-11-07 04:00:00,708.18,706.36,707.28
2016-11-07 03:00:00,708.83,707.29,708.18
2016-11-07 02:00:00,708.10,706.18,707.37
2016-11-07 01:00:00,707.98,704.81,706.12
2016-11-07 00:00:00,711.59,707.74,709.42
2016-11-06 23:00:00,713.26,710.93,711.65
