DateTime,Average
2016-11-18 08:29:00,741.97
2016-11-18 08:28:00,742.06
2016-11-18 08:27:00,741.84
2016-11-18 08:26:00,741.79
2016-11-18 08:25:00,741.40
2016-11-18 08:24:00,741.01
2016-11-18 08:23:00,741.35
2016-11-18 08:22:00,741.05
2016-11-18 08:21:00,741.09
2016-11-18 08:20:00,740.55
2016-11-18 08:19:00,740.54
2016-11-18 08:18:00,740.79
2016-11-18 08:17:00,740.77
2016-11-18 08:16:00,740.77
2016-11-18 08:15:00,740.77
2016-11-18 08:14:00,740.49
2016-11-18 08:13:00,739.85
2016-11-18 08:12:00,740.68
2016-11-18 08:11:00,740.77
2016-11-18 08:10:00,740.84
2016-11-18 08:09:00,740.80
2016-11-18 08:08:00,740.90
2016-11-18 08:07:00,740.95
2016-11-18 08:06:00,740.88
2016-11-18 08:05:00,741.06
2016-11-18 08:04:00,741.01
2016-11-18 08:03:00,740.89
2016-11-18 08:02:00,740.47
2016-11-18 08:01:00,740.56
2016-11-18 08:00:00,740.58
2016-11-18 07:59:00,740.58
2016-11-18 07:58:00,740.82
2016-11-18 07:57:00,740.63
2016-11-18 07:56:00,740.49
2016-11-18 07:55:00,739.99
2016-11-18 07:54:00,740.14
2016-11-18 07:53:00,740.15
2016-11-18 07:52:00,740.29
2016-11-18 07:51:00,739.15
2016-11-18 07:50:00,739.23
2016-11-18 07:49:00,739.87
2016-11-18 07:48:00,739.86
2016-11-18 07:47:00,739.73
2016-11-18 07:46:00,739.73
2016-11-18 07:45:00,739.63
2016-11-18 07:44:00,739.65
2016-11-18 07:43:00,739.81
2016-11-18 07:42:00,739.69
2016-11-18 07:41:00,739.72
2016-11-18 07:40:00,739.74
2016-11-18 07:39:00,739.85
2016-11-18 07:38:00,739.81
2016-11-18 07:37:00,739.96
2016-11-18 07:36:00,739.93
2016-11-18 07:35:00,739.97
2016-11-18 07:34:00,739.92
2016-11-18 07:33:00,740.20
2016-11-18 07:32:00,740.31
2016-11-18 07:31:00,740.20
2016-11-18 07:30:00,739.83
2016-11-18 07:29:00,739.97
2016-11-18 07:28:00,739.67
2016-11-18 07:27:00,739.95
2016-11-18 07:26:00,740.40
2016-11-18 07:25:00,740.45
2016-11-18 07:24:00,739.91
2016-11-18 07:23:00,739.83
2016-11-18 07:22:00,740.20
2016-11-18 07:21:00,740.10
2016-11-18 07:20:00,740.14
2016-11-18 07:19:00,739.62
2016-11-18 07:18:00,739.66
2016-11-18 07:17:00,739.89
2016-11-18 07:16:00,740.03
2016-11-18 07:15:00,739.92
2016-11-18 07:14:00,740.10
2016-11-18 07:13:00,740.07
2016-11-18 07:12:00,739.41
2016-11-18 07:11:00,738.75
2016-11-18 07:10:00,739.63
2016-11-18 07:09:00,739.13
2016-11-18 07:08:00,739.77
2016-11-18 07:07:00,739.39
2016-11-18 07:06:00,738.34
